0.330   1.54393	1.002586E-06
0.33331 1.5431	8.71E-07
0.33689	1.5422	7.6E-07
0.34065	1.5413	6.83E-07
0.34441	1.5405	6.27E-07
0.34817	1.5397	5.88E-07
0.35193	1.5389	5.6E-07
0.35568	1.5382	5.4E-07
0.35943	1.5374	5.25E-07
0.36318	1.5367	5.14E-07
0.36693	1.5361	5.06E-07
0.37068	1.5354	5E-07
0.37442	1.5348	4.95E-07
0.37816	1.5342	4.92E-07
0.38191	1.5336	4.89E-07
0.38564	1.533	4.87E-07
0.38938	1.5324	4.84E-07
0.39311	1.5319	4.83E-07
0.39685	1.5314	4.81E-07
0.40058	1.5309	4.8E-07
0.40431	1.5304	4.78E-07
0.40803	1.5299	4.77E-07
0.41176	1.5294	4.76E-07
0.41548	1.529	4.75E-07
0.4192	1.5286	4.74E-07
0.42292	1.5281	4.73E-07
0.42663	1.5277	4.72E-07
0.43035	1.5273	4.71E-07
0.43406	1.5269	4.69E-07
0.43777	1.5266	4.68E-07
0.44148	1.5262	4.67E-07
0.44518	1.5258	4.66E-07
0.44889	1.5255	4.65E-07
0.45259	1.5251	4.64E-07
0.4585	1.5246	4.63E-07
0.4622	1.5243	4.62E-07
0.4659	1.524	4.61E-07
0.46959	1.5237	4.59E-07
0.47328	1.5234	4.58E-07
0.47697	1.5231	4.57E-07
0.48066	1.5228	4.56E-07
0.48434	1.5225	4.55E-07
0.48802	1.5223	4.54E-07
0.4917	1.522	4.53E-07
0.49538	1.5217	4.52E-07
0.49906	1.5215	4.51E-07
0.50273	1.5213	4.5E-07
0.5064	1.521	4.49E-07
0.51008	1.5208	4.48E-07
0.51374	1.5205	4.47E-07
0.51741	1.5203	4.45E-07
0.52107	1.5201	4.44E-07
0.52474	1.5199	4.43E-07
0.5284	1.5197	4.42E-07
0.53205	1.5195	4.41E-07
0.53571	1.5193	4.4E-07
0.53936	1.5191	4.39E-07
0.54302	1.5189	4.38E-07
0.54667	1.5187	4.37E-07
0.55031	1.5185	4.35E-07
0.55396	1.5183	4.34E-07
0.5576	1.5181	4.33E-07
0.56125	1.518	4.32E-07
0.56489	1.5178	4.31E-07
0.56852	1.5176	4.3E-07
0.57216	1.5174	4.29E-07
0.57579	1.5173	4.27E-07
0.57943	1.5171	4.26E-07
0.58306	1.517	4.25E-07
0.58668	1.5168	4.24E-07
0.59031	1.5167	4.23E-07
0.59393	1.5165	4.22E-07
0.59755	1.5164	4.21E-07
0.60117	1.5162	4.19E-07
0.60479	1.5161	4.18E-07
0.60841	1.5159	4.17E-07
0.61202	1.5158	4.16E-07
0.61563	1.5157	4.15E-07
0.61924	1.5155	4.14E-07
0.62285	1.5154	4.13E-07
0.62645	1.5153	4.11E-07
0.63006	1.5151	4.1E-07
0.63366	1.515	4.09E-07
0.63726	1.5149	4.08E-07
0.64086	1.5148	4.07E-07
0.64445	1.5147	4.06E-07
0.64804	1.5145	4.05E-07
0.65164	1.5144	4.03E-07
0.65522	1.5143	4.02E-07
0.65881	1.5142	4.01E-07
0.6624	1.5141	4E-07
0.66598	1.514	3.99E-07
0.66956	1.5139	3.98E-07
0.67314	1.5138	3.97E-07
0.67672	1.5137	3.96E-07
0.68029	1.5135	3.94E-07
0.68386	1.5134	3.93E-07
0.68744	1.5133	3.92E-07
0.691	1.5132	3.91E-07
0.69457	1.5131	3.9E-07
0.69814	1.513	3.89E-07
0.7017	1.513	3.88E-07
0.70526	1.5129	3.87E-07
0.70882	1.5128	3.85E-07
0.71238	1.5127	3.84E-07
0.71593	1.5126	3.83E-07
0.71948	1.5125	3.82E-07
0.72303	1.5124	3.81E-07
0.72658	1.5123	3.8E-07
0.73013	1.5122	3.79E-07
0.73367	1.5121	3.78E-07
0.73722	1.5121	3.77E-07
0.74076	1.512	3.76E-07
0.7443	1.5119	3.75E-07
0.74783	1.5118	3.74E-07
0.75137	1.5117	3.73E-07
0.7549	1.5116	3.71E-07
0.75843	1.5116	3.7E-07
0.76196	1.5115	3.69E-07
0.76548	1.5114	3.68E-07
0.76901	1.5113	3.67E-07
0.77253	1.5113	3.66E-07
0.77605	1.5112	3.65E-07
0.77957	1.5111	3.64E-07
0.78309	1.511	3.63E-07
0.7866	1.511	3.62E-07
0.79011	1.5109	3.61E-07
0.79362	1.5108	3.6E-07
0.79713	1.5107	3.59E-07
0.80064	1.5107	3.58E-07
0.80414	1.5106	3.57E-07
0.80764	1.5105	3.56E-07
0.81114	1.5105	3.55E-07
0.81464	1.5104	3.54E-07
0.81814	1.5103	3.53E-07
0.82163	1.5103	3.52E-07
0.82512	1.5102	3.51E-07
0.82861	1.5101	3.5E-07
0.8321	1.5101	3.49E-07
0.83559	1.51	3.48E-07
0.83907	1.5099	3.47E-07
0.84255	1.5099	3.46E-07
0.84603	1.5098	3.45E-07
0.84951	1.5098	3.44E-07
0.85298	1.5097	3.43E-07
0.85646	1.5096	3.42E-07
0.86132	1.5095	3.41E-07
0.86617	1.5095	3.4E-07
0.86964	1.5094	3.39E-07
0.8731	1.5093	3.38E-07
0.87657	1.5093	3.37E-07
0.88003	1.5092	3.36E-07
0.88348	1.5092	3.35E-07
0.88694	1.5091	3.34E-07
0.89039	1.5091	3.33E-07
0.89384	1.509	3.32E-07
0.89729	1.5089	3.31E-07
0.90074	1.5089	3.31E-07
0.90419	1.5088	3.3E-07
0.90763	1.5088	3.29E-07
0.91107	1.5087	3.28E-07
0.91451	1.5087	3.27E-07
0.9195	1.5086	3.26E-07
0.92139	1.5086	3.25E-07
0.92482	1.5085	3.24E-07
0.92825	1.5085	3.24E-07
0.93168	1.5084	3.23E-07
0.93511	1.5083	3.22E-07
0.93853	1.5083	3.21E-07
0.94196	1.5082	3.2E-07
0.94606	1.5082	3.19E-07
0.95085	1.5081	3.18E-07
0.95563	1.508	3.17E-07
0.96041	1.508	3.16E-07
0.96518	1.5079	3.14E-07
0.96995	1.5078	3.13E-07
0.97472	1.5078	3.12E-07
0.97953	1.5077	3.11E-07
0.98492	1.5076	3.1E-07
0.99035	1.5075	3.08E-07
0.9951	1.5075	3.07E-07
0.99984	1.5074	3.06E-07
1.0046	1.5073	3.05E-07
1.0095	1.5073	3.04E-07
1.0147	1.5072	3.03E-07
1.0195	1.5071	3.02E-07
1.0242	1.5071	3.01E-07
1.0289	1.507	3E-07
1.0343	1.5069	2.98E-07
1.039	1.5069	2.97E-07
