0.2000	1.7899887573267         0.0
0.2103	1.745665623615           0.0
0.2211	1.7119992386294           0.0
0.2324	1.6855107584498           0.0
0.2444	1.6638254853441           0.0
0.2569	1.6460820436299           0.0
0.2701	1.6311402955915           0.0
0.2840	1.6184577966635           0.0
0.2986	1.6076213870554           0.0
0.3140	1.5982545168599           0.0
0.3301	1.5901770529305           0.0
0.3471	1.5831035268784           0.0
0.3649	1.5769335436982           0.0
0.3836	1.5715104898095           0.0
0.4034	1.5666930945141           0.0
0.4241	1.5624559698771           0.0
0.4459	1.5586908997915           0.0
0.4688	1.5553465430315           0.0
0.4929	1.552364453562           0.0
0.5182	1.5497071165934           0.0
0.5448	1.5473314531459           0.0
0.5728	1.5452021551566           0.0
0.6022	1.5432958337696           0.0
0.6332	1.5415799641644           0.0
0.6657	1.5400424900868           0.0
0.6999	1.5386578582517           0.0
0.7359	1.537409227939           0.0
0.7737	1.5362847064265           0.0
0.8135	1.5352679023069           0.0
0.8553	1.5343496411333           0.0
0.8992	1.5335190690678           0.0
0.9454	1.5327650867199           0.0
0.9940	1.5320797910096           0.0
1.045	1.5314571382796           0.0
1.099	1.5308852008862           0.0
1.155	1.5303690530912           0.0
1.215	1.5298864834433           0.0
1.277	1.5294498400464           0.0
1.343	1.5290410003858           0.0
1.412	1.5286634127719           0.0
1.484	1.5283131695743           0.0
1.560	1.5279824481117           0.0
1.641	1.5276652413239           0.0
1.725	1.527366896916           0.0
1.813	1.5270808033029           0.0
1.907	1.5267986789875           0.0
2.005	1.5265245871037           0.0
2.108	1.5262533514921           0.0
2.216	1.5259828220658           0.0
2.330	1.5257084348423           0.0
2.449	1.5254304642684           0.0
2.575	1.5251420956999           0.0
2.708	1.5248411894139           0.0
2.847	1.5245276864961           0.0
2.993	1.5241969101771           0.0
3.147	1.5238440297764           0.0
3.309	1.5234662865056           0.0
3.479	1.5230607630653           0.0
3.657	1.5226244017936           0.0
3.845	1.5221488737059           0.0
4.043	1.521630305813           0.0
4.251	1.5210645828669           0.0
4.469	1.5204473566699           0.0
4.699	1.5197680156429           0.0
4.940	1.5190240846777           0.0
5.194	1.5182034140425           0.0
5.461	1.5172992098405           0.0
5.741	1.5163042455092           0.0
6.036	1.5152032003663           0.0
6.346	1.5139867605525           0.0
6.673	1.5126365106133           0.0
7.015	1.5111494122099           0.0
7.376	1.5094952655996           0.0
7.755	1.507663816855           0.0
8.153	1.5056342500188           0.0
8.572	1.5033778682306           0.0
9.013	1.5008679174485           0.0
9.476	1.4980807172024           0.0
9.963	1.4949774057792           0.0
10.47	1.4915553843097           0.0
11.01	1.4876906549558           0.0
11.58	1.4833582534623           0.0
12.17	1.4785918999326           0.0
12.80	1.4731751822456           0.0
13.46	1.4671246765821           0.0
14.15	1.4603711337098           0.0
14.88	1.4527282334064           0.0
15.64	1.4442001918157           0.0
16.44	1.4345590387563           0.0
17.29	1.4235226526903           0.0
18.18	1.4110311561214           0.0
19.11	1.3968764157665           0.0
20.09	1.3806367900522           0.0
21.12	1.3619619024752           0.0
22.21	1.3402077652079           0.0
23.35	1.3149893371629           0.0
24.55	1.2853255416036           0.0
25.81	1.2501601236485           0.0
27.14	1.2076926157132           0.0
28.53	1.1560459112115           0.0
30.00	1.0909719812108           0.0
