wl	n
0.3100	2.1759394676161 0.0
0.3619	2.1244526847835 0.0
0.4139	2.0934554672447 0.0
0.4658	2.0731921339333 0.0
0.5178	2.0590472271639 0.0
0.5697	2.0487351006665 0.0
0.6216	2.0409071028311 0.0
0.6736	2.0347606435188 0.0
0.7255	2.0298173905897 0.0
0.7775	2.0257264818369 0.0
0.8294	2.0222778887066 0.0
0.8813	2.0193047731615 0.0
0.9333	2.0166885210243 0.0
0.9852	2.0143553731414 0.0
1.037	2.0122412318597 0.0
1.089	2.0102866760229 0.0
1.141	2.0084631742011 0.0
1.193	2.0067417199434 0.0
1.245	2.0050993473208 0.0
1.297	2.0035176751298 0.0
1.349	2.0019818454037 0.0
1.401	2.0004797384719 0.0
1.453	1.9990013850227 0.0
1.505	1.9975385205152 0.0
1.557	1.9960842438007 0.0
1.609	1.9946327529558 0.0
1.660	1.9932071401451 0.0
1.712	1.9917473810267 0.0
1.764	1.9902778065688 0.0
1.816	1.9887953287262 0.0
1.868	1.9872972757271 0.0
1.920	1.9857813243255 0.0
1.972	1.9842454445198 0.0
2.024	1.9826878541809 0.0
2.076	1.9811069816063 0.0
2.128	1.9795014344546 0.0
2.180	1.9778699738446 0.0
2.232	1.9762114926598 0.0
2.284	1.974524997292   0.0
2.336	1.9728095922163  0.0
2.388	1.9710644669019  0.0
2.440	1.9692888846646  0.0
2.491	1.9675172150711  0.0
2.543	1.9656793740058  0.0
2.595	1.9638092307671  0.0
2.647	1.9619062604624  0.0
2.699	1.9599699760392  0.0
2.751	1.9579999236918  0.0
2.803	1.9559956788569  0.0
2.855	1.9539568427124  0.0
2.907	1.9518830391067  0.0
2.959	1.9497739118599  0.0
3.011	1.9476291223833  0.0
3.063	1.9454483475756  0.0
3.115	1.943231277958   0.0
3.167	1.940977616017   0.0
3.219	1.9386870747281  0.0
3.271	1.9363593762366  0.0
3.323	1.933994250677   0.0
3.374	1.9316380001471  0.0
3.426	1.929197969754   0.0
3.478	1.9267197453428  0.0
3.530	1.9242030793202  0.0
3.582	1.9216477277316  0.0
3.634	1.9190534496169  0.0
3.686	1.9164200064219  0.0
3.738	1.9137471614607  0.0
3.790	1.9110346794217  0.0
3.842	1.9082823259132  0.0
3.894	1.9054898670439  0.0
3.946	1.9026570690344  0.0
3.998	1.8997836978561  0.0
4.050	1.8968695188946  0.0
4.102	1.8939142966348  0.0
4.154	1.8909177943655  0.0
4.206	1.8878797739003  0.0
4.257	1.8848596171279  0.0
4.309	1.8817386484976  0.0
4.361	1.8785754404128  0.0
4.413	1.8753697463298  0.0
4.465	1.8721213170359  0.0
4.517	1.8688299004391  0.0
4.569	1.8654952413638  0.0
4.621	1.862117081353   0.0
4.673	1.8586951584753  0.0
4.725	1.8552292071362  0.0
4.777	1.8517189578932  0.0
4.829	1.8481641372731  0.0
4.881	1.8445644675922  0.0
4.933	1.8409196667773  0.0
4.985	1.8372294481887  0.0
5.037	1.8334935204425  0.0
5.088	1.8297847524406  0.0
5.140	1.8259574057584  0.0
5.192	1.8220834514792  0.0
5.244	1.8181625775726  0.0
5.296	1.8141944663737  0.0
5.348	1.8101787943986  0.0
5.400	1.8061152321586  0.0
5.452	1.8020034439713  0.0
5.504	1.797843087767    0.0
